Date,Close,Open,High
2018-08-23,"1,285.51","1,279.71","1,308.21"
2018-08-21,"1,292.53","1,300.76","1,317.47"
2018-08-20,"1,297.25","1,295.89","1,309.53"
2018-08-17,"1,292.82","1,295.50","1,311.82"
2018-08-16,"1,285.90","1,283.32","1,315.38"
2018-08-14,"1,286.24","1,310.41","1,320.15"
2018-08-13,"1,314.40","1,364.09","1,364.09"
2018-08-10,"1,377.98","1,377.73","1,392.79"
2018-08-09,"1,379.54","1,398.59","1,403.99"
2018-08-08,"1,390.16","1,388.45","1,407.84"
2018-08-07,"1,379.98","1,390.40","1,412.81"
2018-08-06,"1,387.38","1,399.85","1,439.36"
2018-08-03,"1,396.00","1,367.99","1,430.35"
2018-08-02,"1,356.83","1,364.68","1,372.96"
2018-08-01,"1,358.83","1,354.84","1,386.50"
2018-07-31,"1,346.70","1,378.81","1,378.81"
2018-07-30,"1,379.68","1,377.73","1,402.97"
2018-07-27,"1,378.47","1,379.68","1,406.97"
2018-07-26,"1,374.81","1,250.73","1,410.77"
2018-07-25,"1,250.73","1,218.33","1,260.81"
2018-07-24,"1,232.36","1,187.25","1,235.92"
2018-07-23,"1,182.23","1,145.84","1,187.74"
2018-07-20,"1,142.57","1,139.99","1,154.75"
2018-07-19,"1,152.22","1,198.80","1,206.74"
2018-07-18,"1,206.54","1,236.45","1,256.92"
2018-07-17,"1,234.16","1,178.97","1,241.33"
2018-07-16,"1,181.16","1,217.94","1,246.20"
2018-07-13,"1,221.64","1,188.71","1,229.34"
2018-07-12,"1,182.33","1,184.13","1,205.28"
2018-07-11,"1,175.07","1,171.07","1,193.58"
2018-07-10,"1,175.17","1,115.63","1,187.64"
2018-07-09,"1,111.64","1,091.28","1,118.46"
2018-07-06,"1,083.29","1,109.79","1,119.53"
2018-07-05,"1,122.55","1,159.48","1,163.72"
2018-07-04,"1,115.88","1,192.66","1,192.66"
2018-07-03,"1,263.74","1,256.67","1,297.11"
2018-07-02,"1,252.97","1,275.33","1,284.05"
2018-06-29,"1,266.12","1,266.66","1,310.21"
2018-06-28,"1,270.21","1,332.82","1,343.24"
2018-06-27,"1,339.54","1,389.43","1,400.29"
2018-06-26,"1,399.17","1,427.91","1,436.15"
2018-06-25,"1,430.59","1,442.04","1,456.46"
2018-06-22,"1,455.68","1,445.01","1,462.89"
2018-06-21,"1,445.35","1,460.56","1,463.48"
2018-06-20,"1,452.66","1,432.30","1,459.34"
2018-06-19,"1,429.23","1,421.09","1,446.91"
2018-06-18,"1,429.77","1,424.50","1,453.73"
2018-06-15,"1,427.72","1,449.84","1,459.24"
2018-06-14,"1,447.01","1,478.09","1,478.09"
2018-06-13,"1,468.64","1,471.47","1,489.79"
2018-06-12,"1,505.15","1,462.60","1,514.40"
2018-06-11,"1,462.50","1,448.00","1,473.45"
2018-06-08,"1,446.05","1,459.00","1,470.35"
2018-06-07,"1,460.30","1,437.20","1,473.70"
2018-06-06,"1,430.40","1,380.95","1,439.00"
2018-06-05,"1,380.85","1,439.00","1,439.95"
2018-06-04,"1,445.45","1,460.00","1,473.00"
2018-06-01,"1,459.10","1,459.00","1,478.10"
2018-05-31,"1,454.30","1,473.00","1,510.10"
2018-05-30,"1,486.95","1,511.00","1,530.00"
2018-05-29,"1,526.20","1,548.55","1,549.95"
2018-05-28,"1,540.70","1,505.00","1,555.00"
2018-05-25,"1,497.25","1,479.95","1,504.00"
2018-05-24,"1,478.05","1,453.30","1,485.00"
2018-05-23,"1,451.15","1,443.30","1,466.00"
2018-05-22,"1,447.25","1,421.55","1,451.00"
2018-05-21,"1,408.40","1,411.00","1,435.00"
2018-05-18,"1,411.15","1,448.35","1,457.45"
2018-05-17,"1,449.25","1,447.95","1,468.50"
2018-05-16,"1,435.85","1,458.50","1,482.05"
2018-05-15,"1,471.00","1,462.30","1,500.00"
2018-05-14,"1,444.65","1,480.00","1,487.55"
2018-05-11,"1,487.50","1,492.10","1,505.65"
2018-05-10,"1,499.80","1,545.90","1,550.55"
2018-05-09,"1,534.45","1,546.95","1,551.40"
2018-05-08,"1,544.35","1,566.00","1,572.05"
2018-05-07,"1,570.05","1,600.00","1,600.00"
2018-05-04,"1,599.75","1,589.75","1,606.75"
2018-05-03,"1,574.15","1,553.00","1,586.75"
2018-05-02,"1,553.20","1,616.50","1,622.95"
2018-04-30,"1,610.35","1,627.00","1,657.30"
2018-04-27,"1,627.25","1,664.50","1,668.75"
2018-04-26,"1,639.00","1,629.95","1,659.25"
2018-04-25,"1,612.70","1,628.95","1,649.00"
2018-04-24,"1,625.85","1,611.00","1,656.80"
2018-04-23,"1,589.40","1,573.00","1,612.00"
2018-04-20,"1,572.25","1,578.85","1,587.50"
2018-04-19,"1,578.95","1,570.25","1,592.45"
2018-04-18,"1,569.65","1,564.80","1,585.00"
2018-04-17,"1,563.65","1,575.00","1,584.65"
2018-04-16,"1,562.00","1,592.20","1,596.95"
2018-04-13,"1,606.95","1,594.00","1,619.90"
2018-04-12,"1,592.20","1,560.00","1,608.75"
2018-04-11,"1,566.95","1,563.00","1,579.95"
2018-04-10,"1,561.05","1,567.00","1,588.80"
2018-04-09,"1,559.20","1,577.75","1,610.00"
2018-04-06,"1,585.40","1,532.10","1,590.40"
2018-04-05,"1,538.15","1,458.90","1,547.00"
2018-04-04,"1,455.15","1,482.00","1,492.70"
2018-04-03,"1,480.75","1,468.60","1,486.50"
2018-04-02,"1,468.25","1,441.00","1,486.50"
2018-03-28,"1,439.60","1,451.70","1,468.00"
2018-03-27,"1,453.70","1,430.00","1,498.85"
2018-03-26,"1,419.10","1,390.00","1,426.40"
2018-03-23,"1,394.10","1,390.10","1,411.15"
2018-03-22,"1,401.10","1,392.35","1,409.70"
2018-03-21,"1,396.95","1,383.00","1,413.30"
2018-03-20,"1,377.85","1,383.10","1,400.00"
2018-03-19,"1,404.00","1,459.50","1,459.50"
2018-03-16,"1,445.80","1,459.95","1,474.00"
2018-03-15,"1,460.65","1,370.10","1,467.35"
2018-03-14,"1,376.15","1,348.10","1,382.00"
2018-03-13,"1,356.50","1,357.00","1,368.95"
2018-03-12,"1,343.70","1,345.50","1,369.90"
2018-03-09,"1,338.70","1,332.00","1,359.55"
2018-03-08,"1,326.25","1,328.00","1,341.55"
2018-03-07,"1,325.05","1,353.00","1,363.10"
2018-03-06,"1,356.00","1,381.50","1,403.95"
2018-03-05,"1,369.40","1,338.00","1,373.95"
2018-03-01,"1,338.55","1,340.00","1,347.95"
2018-02-28,"1,333.85","1,316.55","1,357.50"
2018-02-27,"1,348.45","1,347.50","1,357.00"
2018-02-26,"1,348.90","1,333.90","1,358.80"
2018-02-23,"1,322.85","1,296.50","1,335.85"
2018-02-22,"1,298.45","1,272.00","1,304.00"
2018-02-21,"1,261.85","1,301.00","1,303.60"
2018-02-20,"1,292.65","1,282.05","1,305.95"
2018-02-19,"1,289.80","1,318.45","1,323.95"
2018-02-16,"1,318.45","1,358.15","1,375.00"
2018-02-15,"1,360.15","1,354.90","1,390.00"
2018-02-14,"1,348.25","1,334.90","1,376.10"
2018-02-12,"1,325.90","1,312.00","1,341.50"
2018-02-09,"1,311.30","1,331.00","1,362.00"
2018-02-08,"1,337.60","1,325.50","1,356.50"
2018-02-07,"1,325.20","1,382.00","1,390.90"
2018-02-06,"1,362.35","1,280.05","1,381.25"
2018-02-05,"1,345.80","1,300.00","1,358.00"
2018-02-02,"1,321.90","1,352.30","1,374.40"
2018-02-01,"1,380.05","1,373.10","1,422.00"
2018-01-31,"1,379.75","1,353.15","1,405.00"
2018-01-30,"1,374.85","1,439.00","1,439.00"
2018-01-29,"1,431.45","1,475.10","1,516.00"
2018-01-25,"1,446.20","1,420.30","1,457.00"
2018-01-24,"1,437.90","1,470.00","1,472.90"
2018-01-23,"1,468.80","1,469.20","1,494.40"
2018-01-22,"1,476.25","1,435.95","1,488.95"
2018-01-19,"1,428.00","1,472.00","1,472.00"
2018-01-18,"1,456.30","1,505.20","1,515.45"
2018-01-17,"1,505.10","1,517.00","1,517.00"
2018-01-16,"1,510.95","1,510.00","1,531.00"
2018-01-15,"1,499.70","1,513.70","1,523.70"
2018-01-12,"1,509.90","1,504.90","1,534.20"
2018-01-11,"1,504.90","1,515.00","1,515.00"
2018-01-10,"1,521.10","1,523.00","1,545.90"
2018-01-09,"1,515.80","1,520.00","1,522.00"
2018-01-08,"1,509.90","1,484.90","1,519.50"
2018-01-05,"1,480.05","1,470.00","1,492.00"
2018-01-04,"1,468.85","1,455.00","1,483.00"
2018-01-03,"1,452.10","1,455.90","1,468.50"
2018-01-02,"1,463.35","1,483.00","1,485.40"
2018-01-01,"1,473.45","1,491.40","1,495.00"
2017-12-29,"1,481.40","1,452.00","1,496.50"
2017-12-28,"1,453.85","1,461.75","1,470.85"
2017-12-27,"1,453.60","1,462.45","1,472.85"
2017-12-26,"1,462.45","1,470.00","1,478.70"
2017-12-22,"1,465.00","1,439.00","1,471.45"
2017-12-21,"1,437.90","1,444.80","1,459.90"
2017-12-20,"1,435.00","1,455.25","1,462.80"
2017-12-19,"1,455.35","1,416.00","1,459.25"
2017-12-18,"1,416.80","1,417.80","1,427.00"
2017-12-15,"1,406.80","1,382.10","1,412.00"
2017-12-14,"1,365.95","1,374.15","1,386.90"
2017-12-13,"1,370.80","1,363.00","1,404.90"
2017-12-12,"1,363.65","1,395.00","1,395.10"
2017-12-11,"1,391.45","1,380.00","1,400.75"
2017-12-08,"1,375.45","1,345.00","1,393.20"
2017-12-07,"1,347.50","1,336.00","1,355.20"
2017-12-06,"1,342.65","1,372.00","1,372.00"
2017-12-05,"1,372.65","1,300.00","1,378.00"
2017-12-04,"1,293.90","1,339.00","1,356.50"
2017-12-01,"1,327.75","1,336.00","1,359.45"
2017-11-30,"1,327.55","1,338.50","1,364.60"
2017-11-29,"1,339.65","1,275.45","1,346.20"
2017-11-28,"1,275.95","1,256.00","1,285.75"
2017-11-27,"1,263.90","1,238.00","1,267.05"
2017-11-24,"1,239.60","1,241.90","1,246.95"
2017-11-23,"1,234.20","1,250.20","1,257.45"
2017-11-22,"1,250.10","1,276.95","1,276.95"
2017-11-21,"1,267.00","1,277.00","1,288.90"
2017-11-20,"1,279.65","1,299.75","1,299.75"
2017-11-17,"1,300.95","1,245.00","1,313.45"
2017-11-16,"1,226.10","1,221.15","1,244.00"
2017-11-15,"1,219.20","1,226.65","1,256.00"
2017-11-14,"1,249.65","1,279.95","1,281.55"
2017-11-13,"1,279.95","1,265.00","1,291.00"
2017-11-10,"1,255.60","1,259.95","1,274.40"
2017-11-09,"1,263.40","1,270.00","1,285.70"
2017-11-08,"1,273.30","1,281.95","1,284.00"
2017-11-07,"1,281.00","1,308.05","1,321.10"
2017-11-06,"1,308.00","1,290.00","1,312.50"
2017-11-03,"1,300.35","1,291.00","1,309.10"
2017-11-02,"1,301.90","1,208.00","1,336.60"
2017-11-01,"1,197.30","1,168.00","1,212.00"
2017-10-31,"1,168.00","1,200.00","1,203.30"
2017-10-30,"1,181.05","1,160.10","1,199.25"
2017-10-27,"1,159.50","1,126.00","1,172.50"
2017-10-26,"1,118.80","1,080.40","1,126.30"
2017-10-25,"1,089.80","1,123.00","1,128.45"
2017-10-24,"1,116.20","1,124.70","1,130.90"
2017-10-23,"1,111.10","1,089.70","1,137.55"
2017-10-19,"1,084.80","1,104.10","1,107.80"
2017-10-18,"1,104.25","1,108.75","1,112.05"
2017-10-17,"1,107.95","1,099.95","1,116.40"
2017-10-16,"1,100.45","1,097.05","1,109.60"
2017-10-13,"1,095.55","1,104.70","1,116.00"
2017-10-12,"1,104.75","1,102.80","1,112.50"
2017-10-11,"1,099.70","1,080.00","1,124.00"
2017-10-10,"1,081.15","1,069.00","1,092.00"
2017-10-09,"1,065.90","1,053.50","1,076.10"
2017-10-06,"1,053.40","1,071.00","1,073.55"
2017-10-05,"1,057.40","1,049.00","1,072.00"
2017-10-04,"1,048.45","1,069.40","1,069.40"
2017-10-03,"1,061.40","1,061.00","1,085.60"
2017-09-29,"1,054.40","1,060.00","1,069.20"
2017-09-28,"1,054.25","1,050.00","1,068.80"
2017-09-27,"1,049.55","1,040.00","1,077.20"
2017-09-26,"1,006.65",987.95,"1,023.40"
